group,layout_id,mean_time_s,p50_time_s,max_time_s,min_time_s,spread_s,policy,time_s,hits
overall,111,222.07,228.99,240.59,197.26,43.33,Inference_BusHybrid,240.59,
overall,69,221.76,228.99,239.44,197.26,42.18,Inference_BusHybrid,239.44,
overall,553,221.52,231.45,234.69,187.65,47.04,Inference_BusHybrid,234.69,
overall,212,221.17,229.24,234.74,192.07,42.67,BusRoute_Parametric,234.74,
overall,408,221.13,231.45,233.54,187.65,45.89,Inference_BusHybrid,233.54,
overall,567,221.06,223.49,240.19,191.09,49.10,BusRoute_Parametric,240.19,
overall,429,220.90,222.34,240.19,191.09,49.10,BusRoute_Parametric,240.19,
overall,254,220.78,229.24,234.74,191.30,43.44,BusRoute_Parametric,234.74,
overall,529,220.56,228.15,229.24,198.91,30.33,Inference_BusHybrid,229.24,
overall,552,220.32,227.03,233.54,197.26,36.28,Inference_BusHybrid,233.54,
overall,234,220.25,223.68,230.99,197.26,33.73,BusRoute_Parametric,230.99,
overall,49,220.17,227.03,240.19,192.95,47.24,BusRoute_Parametric,240.19,
policy,16,,,,,,,Optimal_Omniscient,198.91,
policy,46,,,,,,,Optimal_Omniscient,198.91,
policy,61,,,,,,,Optimal_Omniscient,198.91,
policy,84,,,,,,,Optimal_Omniscient,198.91,
policy,92,,,,,,,Optimal_Omniscient,198.91,
policy,115,,,,,,,Optimal_Omniscient,198.91,
policy,134,,,,,,,Optimal_Omniscient,198.91,
policy,138,,,,,,,Optimal_Omniscient,198.91,
policy,514,,,,,,,Inference_ExpectedValue,229.70,
policy,46,,,,,,,Inference_ExpectedValue,228.84,
policy,368,,,,,,,Inference_ExpectedValue,228.55,
policy,382,,,,,,,Inference_ExpectedValue,228.55,
policy,520,,,,,,,Inference_ExpectedValue,228.55,
policy,16,,,,,,,Inference_ExpectedValue,227.69,
policy,157,,,,,,,Inference_ExpectedValue,225.75,
policy,160,,,,,,,Inference_ExpectedValue,225.75,
policy,48,,,,,,,BusRoute_Parametric,240.19,
policy,49,,,,,,,BusRoute_Parametric,240.19,
policy,96,,,,,,,BusRoute_Parametric,240.19,
policy,97,,,,,,,BusRoute_Parametric,240.19,
policy,423,,,,,,,BusRoute_Parametric,240.19,
policy,429,,,,,,,BusRoute_Parametric,240.19,
policy,567,,,,,,,BusRoute_Parametric,240.19,
policy,573,,,,,,,BusRoute_Parametric,240.19,
policy,423,,,,,,,Bus_RevealedAfterPickup,240.19,
policy,429,,,,,,,Bus_RevealedAfterPickup,240.19,
policy,567,,,,,,,Bus_RevealedAfterPickup,240.19,
policy,573,,,,,,,Bus_RevealedAfterPickup,240.19,
policy,206,,,,,,,Bus_RevealedAfterPickup,234.74,
policy,212,,,,,,,Bus_RevealedAfterPickup,234.74,
policy,254,,,,,,,Bus_RevealedAfterPickup,234.74,
policy,260,,,,,,,Bus_RevealedAfterPickup,234.74,
policy,61,,,,,,,Inference_BusHybrid,240.59,
policy,63,,,,,,,Inference_BusHybrid,240.59,
policy,109,,,,,,,Inference_BusHybrid,240.59,
policy,111,,,,,,,Inference_BusHybrid,240.59,
policy,67,,,,,,,Inference_BusHybrid,239.44,
policy,69,,,,,,,Inference_BusHybrid,239.44,
policy,115,,,,,,,Inference_BusHybrid,239.44,
policy,117,,,,,,,Inference_BusHybrid,239.44,
recurring,429,,,,,,,,3
recurring,567,,,,,,,,3
recurring,49,,,,,,,,2
recurring,61,,,,,,,,2
recurring,69,,,,,,,,2
recurring,111,,,,,,,,2
recurring,212,,,,,,,,2
recurring,254,,,,,,,,2
